phase,depth,variant,mean_nodes,std_nodes,reduction_pct_vs_base
opening,1,base,5,0.0,0.0
opening,1,tt,5,0.0,0.0
opening,1,mo,5,0.0,0.0
opening,1,tt+mo,5,0.0,0.0
opening,2,base,15,0.0,0.0
opening,2,tt,15,0.0,0.0
opening,2,mo,15,0.0,0.0
opening,2,tt+mo,15,0.0,0.0
opening,3,base,49,0.0,0.0
opening,3,tt,49,0.0,0.0
opening,3,mo,49,0.0,0.0
opening,3,tt+mo,49,0.0,0.0
opening,4,base,149,0.0,0.0
opening,4,tt,149,0.0,0.0
opening,4,mo,149,0.0,0.0
opening,4,tt+mo,149,0.0,0.0
midgame,1,base,9,2.2,0.0
midgame,1,tt,9,2.2,0.0
midgame,1,mo,9,2.2,0.0
midgame,1,tt+mo,9,2.2,0.0
midgame,2,base,49,18.0,0.0
midgame,2,tt,49,18.0,0.0
midgame,2,mo,49,18.0,0.0
midgame,2,tt+mo,49,18.0,0.0
midgame,3,base,424,163.2,0.0
midgame,3,tt,424,163.2,0.0
midgame,3,mo,424,163.2,0.0
midgame,3,tt+mo,424,163.2,0.0
midgame,4,base,1532,806.1,0.0
midgame,4,tt,1532,806.1,0.0
midgame,4,mo,1230,702.4,19.74
midgame,4,tt+mo,1230,702.4,19.74
endgame,1,base,8,2.1,0.0
endgame,1,tt,8,2.1,0.0
endgame,1,mo,8,2.1,0.0
endgame,1,tt+mo,8,2.1,0.0
endgame,2,base,32,11.5,0.0
endgame,2,tt,32,11.5,0.0
endgame,2,mo,32,11.5,0.0
endgame,2,tt+mo,32,11.5,0.0
endgame,3,base,194,101.6,0.0
endgame,3,tt,194,101.6,0.0
endgame,3,mo,194,101.6,0.0
endgame,3,tt+mo,194,101.6,0.0
endgame,4,base,622,328.3,0.0
endgame,4,tt,622,328.3,0.0
endgame,4,mo,743,585.4,-19.41
endgame,4,tt+mo,743,585.4,-19.41
